,wordnet_entry,translation,status,phrase
190,ian_GN,إيان,google-translated,
191,ingrid_GN,انغريد,google-translated,
192,irene_GN,إيرين,,
193,iris_GN,إيريس,,
194,isabel_GN,إيزابيل,google-translated,
195,isabella_GN,إيزابيلا,google-translated,
196,isobel_GN,إيزوبيل,google-translated,
197,ivan_GN,إيفان,google-translated,
198,ivor_GN,إيفور,google-translated,
199,ivy_GN,إيفي,google-translated,
200,jack_GN,جاك,google-translated,
201,jackie_GN,جاكي,google-translated,
202,jacob_GN,يعقوب,google-translated,
203,jacqueline_GN,جاكلين,google-translated,
204,jake_GN,جيك,google-translated,
205,james_GN,جيمس,,
206,jane_GN,جين,google-translated,
207,janet_GN,جانيت,google-translated,
208,janice_GN,جانيس,google-translated,
209,janie_GN,جاني,google-translated,
210,jay_GN,جاي,google-translated,
211,jean_GN,جان,google-translated,
212,jeanie_GN,جيني,google-translated,
213,jeff_GN,جيف,google-translated,
214,jeffrey_GN,جيفري,google-translated,
215,jennifer_GN,جنيفر,google-translated,
216,jenny_GN,جيني,google-translated,
217,jerry_GN,جيري,google-translated,
218,jess_GN,جيس,google-translated,
219,jessica_GN,جيسيكا,google-translated,
220,jessie_GN,جيسي,google-translated,
221,jill_GN,جيل,google-translated,
222,jim_GN,جيم,google-translated,
223,jimmy_GN,جيمي,google-translated,
224,jo_GN,جو,google-translated,
225,joan_GN,جوان,google-translated,
226,joanie_GN,جواني,google-translated,
227,joann_GN,جوان,google-translated,
228,joanna_GN,جوانا,google-translated,
229,joanne_GN,جوان,google-translated,
230,jocelyn_GN,جوسلين,google-translated,
231,joe_GN,جو,google-translated,
232,joey_GN,جوي,google-translated,
233,john_GN,جون,google-translated,
234,josh_GN,جوش,google-translated,
235,joy_GN,مرح,google-translated,
236,judy_GN,جودي,google-translated,
237,jul_GN,يول,,
238,julia_GN,جوليا,google-translated,
239,julie_GN,جولي,google-translated,
240,juliet_GN,جولييت,google-translated,
241,jun_GN,يون,,
242,justin_GN,جاستن,google-translated,
243,kate_GN,كيت,google-translated,
244,kath_GN,كاث,google-translated,
245,katherine_GN,كاثرين,google-translated,
246,kathy_GN,كاثي,google-translated,
247,katie_GN,كاتي,google-translated,
248,kay_GN,كاي,google-translated,
249,keith_GN,كيث,google-translated,
250,ken_GN,كين,google-translated,
251,kenneth_GN,كينيث,google-translated,
252,kenny_GN,كيني,google-translated,
253,kevin_GN,كيفن,google-translated,
254,kitty_GN,كيتي,google-translated,
255,larry_GN,لاري,google-translated,
256,laura_GN,لورا,google-translated,
257,laurence_GN,لورانس,google-translated,
258,len_GN,لين,google-translated,
259,lenny_GN,ليني,google-translated,
260,les_GN,ليس,,
261,lesley_GN,ليزلي,google-translated,
262,leslie_GN,ليزلي,google-translated,
263,lilian_GN,ليليان,google-translated,
264,linda_GN,ليندا,google-translated,
265,lionel_GN,ليونيل,google-translated,
266,lisa_GN,ليزا,google-translated,
267,liz_GN,ليز,google-translated,
268,liza_GN,ليزا,google-translated,
269,lizzy_GN,ليزي,google-translated,
270,lois_GN,لويس,google-translated,
271,lorna_GN,لورنا,google-translated,
272,louis_GN,لويس,google-translated,
273,louise_GN,لويز,google-translated,
274,lynne_GN,لين,google-translated,
275,mabel_GN,مابل,google-translated,
276,maddy_GN,مادي,google-translated,
277,madeleine_GN,مادلين,google-translated,
278,madge_GN,مادج,google-translated,
279,madonna_GN,مادونا,google-translated,
280,maggie_GN,ماجي,google-translated,
281,maj_GN,ماغ,,
282,malcolm_GN,مالكولم,google-translated,
283,mamie_GN,مامي,google-translated,
284,mandy_GN,ماندي,google-translated,
285,margaret_GN,مارغريت,google-translated,
286,marge_GN,مارغي,guessed,
287,margery_GN,مارجري,google-translated,
288,margie_GN,مارجي,google-translated,
289,maria_GN,ماريا,google-translated,
290,marian_GN,ماريان,google-translated,
291,marie_GN,ماري,google-translated,
292,marilyn_GN,مارلين,google-translated,
293,marion_GN,ماريون,google-translated,
294,marjorie_GN,مارجوري,google-translated,
295,marlene_GN,مارلين,google-translated,
296,marsh_GN,اهوار,google-translated,
297,martha_GN,مارثا,google-translated,
298,mary_GN,ماري,google-translated,
299,matt_GN,مات,google-translated,
300,maud_GN,مود,google-translated,
301,maudie_GN,مودي,google-translated,
302,maureen_GN,مورين,google-translated,
303,maurice_GN,موريس,google-translated,
304,mavis_GN,ميفيس,google-translated,
305,max_GN,ماكس,,
306,maxim_GN,ماكسيم,,
307,maxine_GN,ماكسين,google-translated,
308,meg_GN,ميج,google-translated,
309,michelle_GN,ميشيل,google-translated,
310,mick_GN,ميك,google-translated,
311,mickey_GN,ميكي,,
312,mike_GN,مايك,google-translated,
313,mildred_GN,ميلدريد,google-translated,
314,miles_GN,ميليس,,
315,millicent_GN,ميليسنت,google-translated,
316,millie_GN,ميلي,google-translated,
317,miranda_GN,ميراندا,google-translated,
318,miriam_GN,مريم,google-translated,
319,moira_GN,مويرا,google-translated,
320,molly_GN,مولي,google-translated,
321,monica_GN,مونيكا,google-translated,
322,moon_GN,موون,,
323,muriel_GN,مورييل,google-translated,
324,myra_GN,ميرا,google-translated,
325,napoleon_GN,نابليون,google-translated,
326,nat_GN,نات,google-translated,
327,natalie_GN,ناتالي,google-translated,
328,nathaniel_GN,ناثانيال,google-translated,
329,ned_GN,نيد,google-translated,
330,neil_GN,نيل,google-translated,
331,nell_GN,نيل,google-translated,
332,nelly_GN,نيللي,google-translated,
333,nick_GN,نيك,google-translated,
334,nicola_GN,نيكولا,google-translated,
335,nicole_GN,نيكول,google-translated,
336,nigel_GN,نايجل,google-translated,
337,noel_GN,نويل,google-translated,
338,nora_GN,نورا,google-translated,
339,olive_GN,أوليف,google-translated,
340,olivia_GN,أوليفيا,google-translated,
341,ollie_GN,أُولي,google-translated,
342,oscar_GN,أوسكار,google-translated,
343,ozzie_GN,أوزي,google-translated,
344,pam_GN,بام,google-translated,
345,pamela_GN,باميلا,google-translated,
346,pat_GN,بات,google-translated,
347,patience_GN,باشنس,guessed,
348,patricia_GN,باتريشيا,google-translated,
349,patty_GN,فطيرة,google-translated,
350,paul_GN,بول,google-translated,
351,paula_GN,باولا,google-translated,
352,pauline_GN,بولين,google-translated,
353,pavlova_GN,بافلوفا,google-translated,
354,pearl_GN,ييرل,,
355,peg_GN,بيغ,guessed,
356,peggy_GN,بيجي,google-translated,
357,penny_GN,بيني,,
358,pete_GN,بيت,google-translated,
359,phil_GN,فيل,google-translated,
360,philip_GN,فيليب,google-translated,
361,philippa_GN,فيليبا,google-translated,
362,phyllis_GN,فيليس,google-translated,
363,polly_GN,بولي,google-translated,
364,priscilla_GN,بريسيلا,google-translated,
365,pru_GN,برو,google-translated,
366,prudence_GN,برودنس,,
367,quentin_GN,كوينتين,google-translated,
368,rachel_GN,راشيل,google-translated,
369,rada_GN,رادا,google-translated,
370,ralph_GN,رالف,google-translated,
371,randolph_GN,راندولف,google-translated,
372,ray_GN,راي,google-translated,
373,raymond_GN,ريمون,google-translated,
374,reg_GN,ريج,google-translated,
375,reginald_GN,ريجنالد,google-translated,
376,rex_GN,ريكس,google-translated,
377,richard_GN,ريتشارد,google-translated,
378,rick_GN,ريك,google-translated,
379,ricky_GN,ريكي,google-translated,
380,rip_GN,رِيب,google-translated,
381,rita_GN,ريتا,google-translated,
382,rob_GN,روب,google-translated,
383,robin_GN,روبن,google-translated,
384,rod_GN,رود,,
385,rodney_GN,رودني,google-translated,
386,roger_GN,روجر,,
387,ron_GN,رون,google-translated,
388,ronald_GN,رونالد,google-translated,
389,ronnie_GN,روني,google-translated,
390,rosalie_GN,روزالي,google-translated,
391,rosalind_GN,روزاليند,google-translated,
392,rosamund_GN,روزاموند,google-translated,
393,rose_GN,روز,,
394,rosemary_GN,روزماري,google-translated,
395,rosie_GN,روزي,google-translated,
396,roy_GN,روي,google-translated,
397,rudolf_GN,رودولف,google-translated,
398,rudy_GN,رودي,google-translated,
399,rupert_GN,روبرت,google-translated,
400,saki_GN,ساكي,google-translated,
401,sally_GN,سالي,google-translated,
402,sam_GN,سام,google-translated,
403,samantha_GN,سامانثا,google-translated,
404,sammy_GN,سامي,google-translated,
405,sandra_GN,ساندرا,google-translated,
406,sandy_GN,ساندي,google-translated,
407,sara_GN,سارا,google-translated,
408,seamus_GN,شيموس,google-translated,
409,sean_GN,شون,google-translated,
410,sharon_GN,شارون,google-translated,
411,sheila_GN,شيلا,google-translated,
412,sidney_GN,سيدني,google-translated,
413,simon_GN,سيمون,google-translated,
414,sonia_GN,سونيا,google-translated,
415,sophia_GN,صوفيا,google-translated,
416,sophie_GN,صوفي,google-translated,
417,stan_GN,ستان,google-translated,
418,stella_GN,ستيلا,google-translated,
419,sten_GN,ستين,google-translated,
420,stephanie_GN,ستيفاني,google-translated,
421,stephen_GN,ستيفن,google-translated,
422,steve_GN,ستيف,google-translated,
423,steven_GN,ستيفن,google-translated,
424,sue_GN,قاضى,google-translated,
425,susan_GN,سوزان,google-translated,
426,susie_GN,سوزي,google-translated,
427,suzanne_GN,سوزان,google-translated,
428,sylvia_GN,سيلفيا,google-translated,
429,ted_GN,تيد,google-translated,
430,teddy_GN,تيدي,,
431,terence_GN,تيرينس,google-translated,
432,terry_GN,تيري,google-translated,
433,tess_GN,تيس,google-translated,
434,tessa_GN,تيسا,google-translated,
435,theo_GN,ثيو,google-translated,
436,theodore_GN,ثيودور,google-translated,
437,theresa_GN,تريزا,,
438,thomas_GN,توماس,google-translated,
439,tim_GN,تيم,google-translated,
440,timmy_GN,تيمي,google-translated,
441,tina_GN,تينا,google-translated,
442,toby_GN,توبي,google-translated,
443,tom_GN,توم,google-translated,
444,tommy_GN,تومي,google-translated,
445,tony_GN,توني,google-translated,
446,ursula_GN,أورسولا,google-translated,
447,vera_GN,فيرا,google-translated,
448,vernon_GN,فيرنون,google-translated,
449,veronica_GN,فيرونيكا,google-translated,
450,vic_GN,فيك,guessed,
451,vicenza_GN,فيتشنزا,google-translated,
452,vicky_GN,فيكي,google-translated,
453,victor_GN,فيكتور,google-translated,
454,victoria_GN,فيكتوريا,google-translated,
455,vince_GN,فينس,google-translated,
456,vincent_GN,فنسنت,google-translated,
457,viola_GN,فيولا,google-translated,
458,violet_GN,فايوليت,guessed,
459,viv_GN,فيف,google-translated,
460,vivian_GN,فيفيان,google-translated,
461,vivien_GN,فيفيان,google-translated,
462,vivienne_GN,فيفيان,google-translated,
463,warwick_GN,وارويك,google-translated,
464,wendy_GN,ويندي,google-translated,
465,wilf_GN,ويلف,google-translated,
466,wilfrid_GN,ويلفريد,google-translated,
467,will_GN,ويل,,
468,william_GN,وليام,google-translated,
469,willie_GN,ويلي,google-translated,
470,willy_GN,ويلي,google-translated,
471,winnie_GN,ويني,google-translated,
472,yogi_GN,يوغي,google-translated,
473,yvonne_GN,ايفون,google-translated,
474,zoe_GN,زوي,google-translated,
