Wikitext,UDPipe
خِرِّيج,خَرِيج
عَمُود,عُمُود
مُتَسَابِق,مُُتسَابَق
مُنْتَدًى,مُنتَدَى
دِرْع,دَرع
مُتَسَابِق,مُتَسَاِب
فَخَّار,فِخَار
صَلَاحِيَة,صَلَّاح
قِدِّيس,قَدِيس
صِحَافَة,صَحَافَة
مُحَاضَرَة,مُحَاضِرَة
سَحَر,سِحر
مُحْتَرِف,مُحتَرَف
سَدّ,سُدّ
سَدّ,سُدّ
مُمَثِّل,مُُمَثِِّ
مُكَعَّب,مَكعَب
كِيَان,كََِيَان
رِحَالَة,رَحَالَة
مَطَار,مِطَار
خَوَارِزْمِيَّة,خُوَارزمَيَة
مَعْنًى,مَعنَى
رَادْيُو,رَادِيُو
أُغْنِيَّة,أَغَنِيّ
مَوْطِن,مُوطِن
إِنْجِيل,إَنجِيل
مُحَرِّك,مَحرَك
زَخْرَفَة,زَخرِفَة
طَابَق,طَابِق
لُكْنَة,لَكنَة
طَعْم,طَََّعُم
أَرْشِيف,أرَشف
مَسّ,مِس
أُغْنِيَّة,أَغَنِيَّة
مُرَاجَعَة,مُرَاجِعَة
قُبَّعَة,قَبعَة
مُشَارِك,مَشرَكَة
قَبُول,قُبُول
أَغْلَبِيَّة,أَغلَبِيّ
إِنْتَرْنَت,إِنتِرنِت
مُصَنَّف,مَصنَف
مِهْرَجَان,مَهرَجَان
مُهَاجَرَة,مُهَاجِرَة
مَكْنَز,مََُكِّن
مَخْزَن,مَخزِن
فَنّ,فِن
تِلْفَاز,تُلفَاز
فَنّ,فُنُِّ
مُحَرِّك,مُحَرَّك
رُتْبَة,رِتبة
قِدِّيس,قَدِيس
بُؤْرَة,بَؤرَة
مَسْرَح,مُسَرَّح
مُسْتَشْفًى,مُستَشفَى
خَطَّاط,خِطَاط
تِلْفَاز,اِلتَلَف
رَسَّام,رَسِيم
مُلَاكِم,مَلكَم
مَوْرِد,مُوَرِّد
نَقَاوَة,نِقَاوَة
كَرَاهِيَة,كِرَاهِيّ
مَثْلَجَة,مُثَلَّج
مُسْتَشْفًى,مُستَشفَى
حَشَرة,حُشرَة
مُشْرِف,مَُُشِّر
حِضَانَة,حَضَانَة
مُعْجَم,مَُعجِم
مُعْجَم,مُعَجَّم
مُرَشَّح,رُشَََّح
مَقْبَرَة,مُقبِر
تَوَزُّع,تَوَزَُّ
مَعْرِض,مَُعَرَض
وَصْلَة,وُصلَة
مَنْح,مَِنَح
مُحْتَوًى,مُحتَوَى
دِيوَان,دُيوَان
مُنْتَدًى,مُنتَدَى
43,38
710,
