wordnet_entry	translation	status	phrase	masc	pnt	concrete_n	concrete_pn	abstract_n	abstract_pn
alton_LN	ألتون	google-translated	0		LN	"lin 'ألتون_N' = mkN nohum (wmkN {g = fem ; sg = ""ألتون"" ; pl = ""ألتون"" }) ;"	lin 'ألتون_LN' = mkLN 'ألتون_N' ;	fun 'ألتون_N' : N ;	fun 'ألتون_LN' : LN ;
alvechurch_LN	الفيشيرتش	google-translated	0		LN	"lin 'الفيشيرتش_N' = mkN nohum (wmkN {g = fem ; sg = ""الفيشيرتش"" ; pl = ""الفيشيرتش"" }) ;"	lin 'الفيشيرتش_LN' = mkLN 'الفيشيرتش_N' ;	fun 'الفيشيرتش_N' : N ;	fun 'الفيشيرتش_LN' : LN ;
american_falls_LN	شلَّالات أمريكا	google-translated	1		LN	"lin 'شلَّالات أمريكا_N' = mkN nohum (wmkN {g = fem ; sg = ""شلَّالات أمريكا"" ; pl = ""شلَّالات أمريكا"" }) ;"	lin 'شلَّالات أمريكا_LN' = mkLN 'شلَّالات أمريكا_N' ;	fun 'شلَّالات أمريكا_N' : N ;	fun 'شلَّالات أمريكا_LN' : LN ;
amesbury_LN	أميسبوري	google-translated	0		LN	"lin 'أميسبوري_N' = mkN nohum (wmkN {g = fem ; sg = ""أميسبوري"" ; pl = ""أميسبوري"" }) ;"	lin 'أميسبوري_LN' = mkLN 'أميسبوري_N' ;	fun 'أميسبوري_N' : N ;	fun 'أميسبوري_LN' : LN ;
ammanford_LN	عمانفورد	google-translated	0		LN	"lin 'عمانفورد_N' = mkN nohum (wmkN {g = fem ; sg = ""عمانفورد"" ; pl = ""عمانفورد"" }) ;"	lin 'عمانفورد_LN' = mkLN 'عمانفورد_N' ;	fun 'عمانفورد_N' : N ;	fun 'عمانفورد_LN' : LN ;
andover_LN	آندووفر	google-translated	0		LN	"lin 'آندووفر_N' = mkN nohum (wmkN {g = fem ; sg = ""آندووفر"" ; pl = ""آندووفر"" }) ;"	lin 'آندووفر_LN' = mkLN 'آندووفر_N' ;	fun 'آندووفر_N' : N ;	fun 'آندووفر_LN' : LN ;
angostura_bridge_LN	جسر أنجوستورا	google-translated	1		LN	"lin 'جسر أنجوستورا_N' = mkN nohum (wmkN {g = fem ; sg = ""جسر أنجوستورا"" ; pl = ""جسر أنجوستورا"" }) ;"	lin 'جسر أنجوستورا_LN' = mkLN 'جسر أنجوستورا_N' ;	fun 'جسر أنجوستورا_N' : N ;	fun 'جسر أنجوستورا_LN' : LN ;
anjala_LN	أنجالا	google-translated	0		LN	"lin 'أنجالا_N' = mkN nohum (wmkN {g = fem ; sg = ""أنجالا"" ; pl = ""أنجالا"" }) ;"	lin 'أنجالا_LN' = mkLN 'أنجالا_N' ;	fun 'أنجالا_N' : N ;	fun 'أنجالا_LN' : LN ;
annfield_LN	أنفيلد	google-translated	0	1.0	LN	"lin 'أنفيلد_N' = mkN nohum (wmkN {g = masc ; sg = ""أنفيلد"" ; pl = ""أنفيلد"" }) ;"	lin 'أنفيلد_LN' = mkLN 'أنفيلد_N' ;	fun 'أنفيلد_N' : N ;	fun 'أنفيلد_LN' : LN ;
annfield_plain_LN	سهل أنفيلد	manual	1	1.0	LN	"lin 'سهل أنفيلد_N' = mkN nohum (wmkN {g = masc ; sg = ""سهل أنفيلد"" ; pl = ""سهل أنفيلد"" }) ;"	lin 'سهل أنفيلد_LN' = mkLN 'سهل أنفيلد_N' ;	fun 'سهل أنفيلد_N' : N ;	fun 'سهل أنفيلد_LN' : LN ;
antrim_LN	أنتريم	google-translated	0		LN	"lin 'أنتريم_N' = mkN nohum (wmkN {g = fem ; sg = ""أنتريم"" ; pl = ""أنتريم"" }) ;"	lin 'أنتريم_LN' = mkLN 'أنتريم_N' ;	fun 'أنتريم_N' : N ;	fun 'أنتريم_LN' : LN ;
aran_islands_LN	جزر آران	google-translated	1		LN	"lin 'جزر آران_N' = mkN nohum (wmkN {g = fem ; sg = ""جزر آران"" ; pl = ""جزر آران"" }) ;"	lin 'جزر آران_LN' = mkLN 'جزر آران_N' ;	fun 'جزر آران_N' : N ;	fun 'جزر آران_LN' : LN ;
arbroath_LN	أربروث	google-translated	0		LN	"lin 'أربروث_N' = mkN nohum (wmkN {g = fem ; sg = ""أربروث"" ; pl = ""أربروث"" }) ;"	lin 'أربروث_LN' = mkLN 'أربروث_N' ;	fun 'أربروث_N' : N ;	fun 'أربروث_LN' : LN ;
ardrossan_LN	أردروسان	google-translated	0		LN	"lin 'أردروسان_N' = mkN nohum (wmkN {g = fem ; sg = ""أردروسان"" ; pl = ""أردروسان"" }) ;"	lin 'أردروسان_LN' = mkLN 'أردروسان_N' ;	fun 'أردروسان_N' : N ;	fun 'أردروسان_LN' : LN ;
armadale_LN	أرمادال	google-translated	0		LN	"lin 'أرمادال_N' = mkN nohum (wmkN {g = fem ; sg = ""أرمادال"" ; pl = ""أرمادال"" }) ;"	lin 'أرمادال_LN' = mkLN 'أرمادال_N' ;	fun 'أرمادال_N' : N ;	fun 'أرمادال_LN' : LN ;
arr_LN	آر	google-translated	0		LN	"lin 'آر_N' = mkN nohum (wmkN {g = fem ; sg = ""آر"" ; pl = ""آر"" }) ;"	lin 'آر_LN' = mkLN 'آر_N' ;	fun 'آر_N' : N ;	fun 'آر_LN' : LN ;
artjärvi_LN	أرتيارفي	google-translated	0		LN	"lin 'أرتيارفي_N' = mkN nohum (wmkN {g = fem ; sg = ""أرتيارفي"" ; pl = ""أرتيارفي"" }) ;"	lin 'أرتيارفي_LN' = mkLN 'أرتيارفي_N' ;	fun 'أرتيارفي_N' : N ;	fun 'أرتيارفي_LN' : LN ;
ashbourne_LN	اشبورن	google-translated	0		LN	"lin 'اشبورن_N' = mkN nohum (wmkN {g = fem ; sg = ""اشبورن"" ; pl = ""اشبورن"" }) ;"	lin 'اشبورن_LN' = mkLN 'اشبورن_N' ;	fun 'اشبورن_N' : N ;	fun 'اشبورن_LN' : LN ;
ashby_LN	اشبي	google-translated	0		LN	"lin 'اشبي_N' = mkN nohum (wmkN {g = fem ; sg = ""اشبي"" ; pl = ""اشبي"" }) ;"	lin 'اشبي_LN' = mkLN 'اشبي_N' ;	fun 'اشبي_N' : N ;	fun 'اشبي_LN' : LN ;
ashby_de_la_zouch_LN	أشبي دي لا زوش	google-translated	1		LN	"lin 'أشبي دي لا زوش_N' = mkN nohum (wmkN {g = fem ; sg = ""أشبي دي لا زوش"" ; pl = ""أشبي دي لا زوش"" }) ;"	lin 'أشبي دي لا زوش_LN' = mkLN 'أشبي دي لا زوش_N' ;	fun 'أشبي دي لا زوش_N' : N ;	fun 'أشبي دي لا زوش_LN' : LN ;
ashby_woulds_LN	أشبي-وولدز	google-translated	0		LN	"lin 'أشبي-وولدز_N' = mkN nohum (wmkN {g = fem ; sg = ""أشبي-وولدز"" ; pl = ""أشبي-وولدز"" }) ;"	lin 'أشبي-وولدز_LN' = mkLN 'أشبي-وولدز_N' ;	fun 'أشبي-وولدز_N' : N ;	fun 'أشبي-وولدز_LN' : LN ;
ashton_in_makerfield_LN	أشتون إن ميكرفيلد	google-translated	1		LN	"lin 'أشتون إن ميكرفيلد_N' = mkN nohum (wmkN {g = fem ; sg = ""أشتون إن ميكرفيلد"" ; pl = ""أشتون إن ميكرفيلد"" }) ;"	lin 'أشتون إن ميكرفيلد_LN' = mkLN 'أشتون إن ميكرفيلد_N' ;	fun 'أشتون إن ميكرفيلد_N' : N ;	fun 'أشتون إن ميكرفيلد_LN' : LN ;
asikkala_LN	أسيكالا	google-translated	0		LN	"lin 'أسيكالا_N' = mkN nohum (wmkN {g = fem ; sg = ""أسيكالا"" ; pl = ""أسيكالا"" }) ;"	lin 'أسيكالا_LN' = mkLN 'أسيكالا_N' ;	fun 'أسيكالا_N' : N ;	fun 'أسيكالا_LN' : LN ;
askainen_LN	أسكاينن	google-translated	0		LN	"lin 'أسكاينن_N' = mkN nohum (wmkN {g = fem ; sg = ""أسكاينن"" ; pl = ""أسكاينن"" }) ;"	lin 'أسكاينن_LN' = mkLN 'أسكاينن_N' ;	fun 'أسكاينن_N' : N ;	fun 'أسكاينن_LN' : LN ;
askern_LN	أسكيرن	google-translated	0		LN	"lin 'أسكيرن_N' = mkN nohum (wmkN {g = fem ; sg = ""أسكيرن"" ; pl = ""أسكيرن"" }) ;"	lin 'أسكيرن_LN' = mkLN 'أسكيرن_N' ;	fun 'أسكيرن_N' : N ;	fun 'أسكيرن_LN' : LN ;
aspull_LN	أسبول	google-translated	0		LN	"lin 'أسبول_N' = mkN nohum (wmkN {g = fem ; sg = ""أسبول"" ; pl = ""أسبول"" }) ;"	lin 'أسبول_LN' = mkLN 'أسبول_N' ;	fun 'أسبول_N' : N ;	fun 'أسبول_LN' : LN ;
aston_LN	أستون	google-translated	0		LN	"lin 'أستون_N' = mkN nohum (wmkN {g = fem ; sg = ""أستون"" ; pl = ""أستون"" }) ;"	lin 'أستون_LN' = mkLN 'أستون_N' ;	fun 'أستون_N' : N ;	fun 'أستون_LN' : LN ;
atherstone_LN	أثرستون	google-translated	0		LN	"lin 'أثرستون_N' = mkN nohum (wmkN {g = fem ; sg = ""أثرستون"" ; pl = ""أثرستون"" }) ;"	lin 'أثرستون_LN' = mkLN 'أثرستون_N' ;	fun 'أثرستون_N' : N ;	fun 'أثرستون_LN' : LN ;
audley_LN	أودلي	google-translated	0		LN	"lin 'أودلي_N' = mkN nohum (wmkN {g = fem ; sg = ""أودلي"" ; pl = ""أودلي"" }) ;"	lin 'أودلي_LN' = mkLN 'أودلي_N' ;	fun 'أودلي_N' : N ;	fun 'أودلي_LN' : LN ;
aura_LN	أورا	manual	0		LN	"lin 'أورا_N' = mkN nohum (wmkN {g = fem ; sg = ""أورا"" ; pl = ""أورا"" }) ;"	lin 'أورا_LN' = mkLN 'أورا_N' ;	fun 'أورا_N' : N ;	fun 'أورا_LN' : LN ;
auttoinen_LN	أوتوينن	google-translated	0		LN	"lin 'أوتوينن_N' = mkN nohum (wmkN {g = fem ; sg = ""أوتوينن"" ; pl = ""أوتوينن"" }) ;"	lin 'أوتوينن_LN' = mkLN 'أوتوينن_N' ;	fun 'أوتوينن_N' : N ;	fun 'أوتوينن_LN' : LN ;
ave_LN	افي	google-translated	0		LN	"lin 'افي_N' = mkN nohum (wmkN {g = fem ; sg = ""افي"" ; pl = ""افي"" }) ;"	lin 'افي_LN' = mkLN 'افي_N' ;	fun 'افي_N' : N ;	fun 'افي_LN' : LN ;
avon_2_LN	أفون	google-translated	0		LN	"lin 'أفون_N' = mkN nohum (wmkN {g = fem ; sg = ""أفون"" ; pl = ""أفون"" }) ;"	lin 'أفون_LN' = mkLN 'أفون_N' ;	fun 'أفون_N' : N ;	fun 'أفون_LN' : LN ;
avon_3_LN	أفون	google-translated	0		LN	"lin 'أفون_N' = mkN nohum (wmkN {g = fem ; sg = ""أفون"" ; pl = ""أفون"" }) ;"	lin 'أفون_LN' = mkLN 'أفون_N' ;	fun 'أفون_N' : N ;	fun 'أفون_LN' : LN ;
aycliffe_LN	أيكليف	google-translated	0		LN	"lin 'أيكليف_N' = mkN nohum (wmkN {g = fem ; sg = ""أيكليف"" ; pl = ""أيكليف"" }) ;"	lin 'أيكليف_LN' = mkLN 'أيكليف_N' ;	fun 'أيكليف_N' : N ;	fun 'أيكليف_LN' : LN ;
aylesford_LN	ايليسفورد	google-translated	0		LN	"lin 'ايليسفورد_N' = mkN nohum (wmkN {g = fem ; sg = ""ايليسفورد"" ; pl = ""ايليسفورد"" }) ;"	lin 'ايليسفورد_LN' = mkLN 'ايليسفورد_N' ;	fun 'ايليسفورد_N' : N ;	fun 'ايليسفورد_LN' : LN ;
backworth_LN	باكوورث	google-translated	0		LN	"lin 'باكوورث_N' = mkN nohum (wmkN {g = fem ; sg = ""باكوورث"" ; pl = ""باكوورث"" }) ;"	lin 'باكوورث_LN' = mkLN 'باكوورث_N' ;	fun 'باكوورث_N' : N ;	fun 'باكوورث_LN' : LN ;
baldock_LN	بالدوك	google-translated	0		LN	"lin 'بالدوك_N' = mkN nohum (wmkN {g = fem ; sg = ""بالدوك"" ; pl = ""بالدوك"" }) ;"	lin 'بالدوك_LN' = mkLN 'بالدوك_N' ;	fun 'بالدوك_N' : N ;	fun 'بالدوك_LN' : LN ;
bantry_LN	بانتري	google-translated	0		LN	"lin 'بانتري_N' = mkN nohum (wmkN {g = fem ; sg = ""بانتري"" ; pl = ""بانتري"" }) ;"	lin 'بانتري_LN' = mkLN 'بانتري_N' ;	fun 'بانتري_N' : N ;	fun 'بانتري_LN' : LN ;
baracaldo_LN	باراكالدو	google-translated	0		LN	"lin 'باراكالدو_N' = mkN nohum (wmkN {g = fem ; sg = ""باراكالدو"" ; pl = ""باراكالدو"" }) ;"	lin 'باراكالدو_LN' = mkLN 'باراكالدو_N' ;	fun 'باراكالدو_N' : N ;	fun 'باراكالدو_LN' : LN ;
bargoed_LN	بارْجويد	manual	0		LN	"lin 'بارْجويد_N' = mkN nohum (wmkN {g = fem ; sg = ""بارْجويد"" ; pl = ""بارْجويد"" }) ;"	lin 'بارْجويد_LN' = mkLN 'بارْجويد_N' ;	fun 'بارْجويد_N' : N ;	fun 'بارْجويد_LN' : LN ;
barnet_LN	بارنت	google-translated	0		LN	"lin 'بارنت_N' = mkN nohum (wmkN {g = fem ; sg = ""بارنت"" ; pl = ""بارنت"" }) ;"	lin 'بارنت_LN' = mkLN 'بارنت_N' ;	fun 'بارنت_N' : N ;	fun 'بارنت_LN' : LN ;
barnoldswick_LN	بارنولدسويك	google-translated	0		LN	"lin 'بارنولدسويك_N' = mkN nohum (wmkN {g = fem ; sg = ""بارنولدسويك"" ; pl = ""بارنولدسويك"" }) ;"	lin 'بارنولدسويك_LN' = mkLN 'بارنولدسويك_N' ;	fun 'بارنولدسويك_N' : N ;	fun 'بارنولدسويك_LN' : LN ;
barton_upon_humber_LN	بارتون أبون هامبر	google-translated	1		LN	"lin 'بارتون أبون هامبر_N' = mkN nohum (wmkN {g = fem ; sg = ""بارتون أبون هامبر"" ; pl = ""بارتون أبون هامبر"" }) ;"	lin 'بارتون أبون هامبر_LN' = mkLN 'بارتون أبون هامبر_N' ;	fun 'بارتون أبون هامبر_N' : N ;	fun 'بارتون أبون هامبر_LN' : LN ;
batley_LN	باتلي	google-translated	0		LN	"lin 'باتلي_N' = mkN nohum (wmkN {g = fem ; sg = ""باتلي"" ; pl = ""باتلي"" }) ;"	lin 'باتلي_LN' = mkLN 'باتلي_N' ;	fun 'باتلي_N' : N ;	fun 'باتلي_LN' : LN ;
beacon_hill_LN	منارة التل	google-translated	1		LN	"lin 'منارة التل_N' = mkN nohum (wmkN {g = fem ; sg = ""منارة التل"" ; pl = ""منارة التل"" }) ;"	lin 'منارة التل_LN' = mkLN 'منارة التل_N' ;	fun 'منارة التل_N' : N ;	fun 'منارة التل_LN' : LN ;
beaumaris_LN	بوماريس	google-translated	0		LN	"lin 'بوماريس_N' = mkN nohum (wmkN {g = fem ; sg = ""بوماريس"" ; pl = ""بوماريس"" }) ;"	lin 'بوماريس_LN' = mkLN 'بوماريس_N' ;	fun 'بوماريس_N' : N ;	fun 'بوماريس_LN' : LN ;
bebington_LN	بيبينجتون	google-translated	0		LN	"lin 'بيبينجتون_N' = mkN nohum (wmkN {g = fem ; sg = ""بيبينجتون"" ; pl = ""بيبينجتون"" }) ;"	lin 'بيبينجتون_LN' = mkLN 'بيبينجتون_N' ;	fun 'بيبينجتون_N' : N ;	fun 'بيبينجتون_LN' : LN ;
beccles_LN	بيكليس	google-translated	0		LN	"lin 'بيكليس_N' = mkN nohum (wmkN {g = fem ; sg = ""بيكليس"" ; pl = ""بيكليس"" }) ;"	lin 'بيكليس_LN' = mkLN 'بيكليس_N' ;	fun 'بيكليس_N' : N ;	fun 'بيكليس_LN' : LN ;
beddau_LN	بيداو	google-translated	0		LN	"lin 'بيداو_N' = mkN nohum (wmkN {g = fem ; sg = ""بيداو"" ; pl = ""بيداو"" }) ;"	lin 'بيداو_LN' = mkLN 'بيداو_N' ;	fun 'بيداو_N' : N ;	fun 'بيداو_LN' : LN ;
bedlington_LN	بيدلينجتون	google-translated	0		LN	"lin 'بيدلينجتون_N' = mkN nohum (wmkN {g = fem ; sg = ""بيدلينجتون"" ; pl = ""بيدلينجتون"" }) ;"	lin 'بيدلينجتون_LN' = mkLN 'بيدلينجتون_N' ;	fun 'بيدلينجتون_N' : N ;	fun 'بيدلينجتون_LN' : LN ;
bedwas_LN	بيدْواس	google-translated	0		LN	"lin 'بيدْواس_N' = mkN nohum (wmkN {g = fem ; sg = ""بيدْواس"" ; pl = ""بيدْواس"" }) ;"	lin 'بيدْواس_LN' = mkLN 'بيدْواس_N' ;	fun 'بيدْواس_N' : N ;	fun 'بيدْواس_LN' : LN ;
beith_LN	بيث	google-translated	0		LN	"lin 'بيث_N' = mkN nohum (wmkN {g = fem ; sg = ""بيث"" ; pl = ""بيث"" }) ;"	lin 'بيث_LN' = mkLN 'بيث_N' ;	fun 'بيث_N' : N ;	fun 'بيث_LN' : LN ;
belper_LN	بيلبر	google-translated	0		LN	"lin 'بيلبر_N' = mkN nohum (wmkN {g = fem ; sg = ""بيلبر"" ; pl = ""بيلبر"" }) ;"	lin 'بيلبر_LN' = mkLN 'بيلبر_N' ;	fun 'بيلبر_N' : N ;	fun 'بيلبر_LN' : LN ;
bennäs_LN	بيناس	google-translated	0		LN	"lin 'بيناس_N' = mkN nohum (wmkN {g = fem ; sg = ""بيناس"" ; pl = ""بيناس"" }) ;"	lin 'بيناس_LN' = mkLN 'بيناس_N' ;	fun 'بيناس_N' : N ;	fun 'بيناس_LN' : LN ;
berkhamsted_LN	بيرخامستيد	google-translated	0		LN	"lin 'بيرخامستيد_N' = mkN nohum (wmkN {g = fem ; sg = ""بيرخامستيد"" ; pl = ""بيرخامستيد"" }) ;"	lin 'بيرخامستيد_LN' = mkLN 'بيرخامستيد_N' ;	fun 'بيرخامستيد_N' : N ;	fun 'بيرخامستيد_LN' : LN ;
berkshires_LN	بيركشايرز	google-translated	0		LN	"lin 'بيركشايرز_N' = mkN nohum (wmkN {g = fem ; sg = ""بيركشايرز"" ; pl = ""بيركشايرز"" }) ;"	lin 'بيركشايرز_LN' = mkLN 'بيركشايرز_N' ;	fun 'بيركشايرز_N' : N ;	fun 'بيركشايرز_LN' : LN ;
berwick_upon_tweed_LN	بيرويك أبون تويد	google-translated	1		LN	"lin 'بيرويك أبون تويد_N' = mkN nohum (wmkN {g = fem ; sg = ""بيرويك أبون تويد"" ; pl = ""بيرويك أبون تويد"" }) ;"	lin 'بيرويك أبون تويد_LN' = mkLN 'بيرويك أبون تويد_N' ;	fun 'بيرويك أبون تويد_N' : N ;	fun 'بيرويك أبون تويد_LN' : LN ;
beverley_LN	بيفرلي	google-translated	0		LN	"lin 'بيفرلي_N' = mkN nohum (wmkN {g = fem ; sg = ""بيفرلي"" ; pl = ""بيفرلي"" }) ;"	lin 'بيفرلي_LN' = mkLN 'بيفرلي_N' ;	fun 'بيفرلي_N' : N ;	fun 'بيفرلي_LN' : LN ;
bewdley_LN	بيودلي	google-translated	0		LN	"lin 'بيودلي_N' = mkN nohum (wmkN {g = fem ; sg = ""بيودلي"" ; pl = ""بيودلي"" }) ;"	lin 'بيودلي_LN' = mkLN 'بيودلي_N' ;	fun 'بيودلي_N' : N ;	fun 'بيودلي_LN' : LN ;
bexhill_LN	بيكسهيل	google-translated	0		LN	"lin 'بيكسهيل_N' = mkN nohum (wmkN {g = fem ; sg = ""بيكسهيل"" ; pl = ""بيكسهيل"" }) ;"	lin 'بيكسهيل_LN' = mkLN 'بيكسهيل_N' ;	fun 'بيكسهيل_N' : N ;	fun 'بيكسهيل_LN' : LN ;
bexley_LN	بيكسلي	google-translated	0		LN	"lin 'بيكسلي_N' = mkN nohum (wmkN {g = fem ; sg = ""بيكسلي"" ; pl = ""بيكسلي"" }) ;"	lin 'بيكسلي_LN' = mkLN 'بيكسلي_N' ;	fun 'بيكسلي_N' : N ;	fun 'بيكسلي_LN' : LN ;
bicester_LN	بيسستر	google-translated	0		LN	"lin 'بيسستر_N' = mkN nohum (wmkN {g = fem ; sg = ""بيسستر"" ; pl = ""بيسستر"" }) ;"	lin 'بيسستر_LN' = mkLN 'بيسستر_N' ;	fun 'بيسستر_N' : N ;	fun 'بيسستر_LN' : LN ;
bideford_LN	بيدفورد	google-translated	0		LN	"lin 'بيدفورد_N' = mkN nohum (wmkN {g = fem ; sg = ""بيدفورد"" ; pl = ""بيدفورد"" }) ;"	lin 'بيدفورد_LN' = mkLN 'بيدفورد_N' ;	fun 'بيدفورد_N' : N ;	fun 'بيدفورد_LN' : LN ;
big_sioux_river_LN	نهر بيج سيوكس	google-translated	1		LN	"lin 'نهر بيج سيوكس_N' = mkN nohum (wmkN {g = fem ; sg = ""نهر بيج سيوكس"" ; pl = ""نهر بيج سيوكس"" }) ;"	lin 'نهر بيج سيوكس_LN' = mkLN 'نهر بيج سيوكس_N' ;	fun 'نهر بيج سيوكس_N' : N ;	fun 'نهر بيج سيوكس_LN' : LN ;
biggleswade_LN	بيجلسويد	google-translated	0		LN	"lin 'بيجلسويد_N' = mkN nohum (wmkN {g = fem ; sg = ""بيجلسويد"" ; pl = ""بيجلسويد"" }) ;"	lin 'بيجلسويد_LN' = mkLN 'بيجلسويد_N' ;	fun 'بيجلسويد_N' : N ;	fun 'بيجلسويد_LN' : LN ;
bighorn_1_LN	بيجهورن	manual	0		LN	"lin 'بيجهورن_N' = mkN nohum (wmkN {g = fem ; sg = ""بيجهورن"" ; pl = ""بيجهورن"" }) ;"	lin 'بيجهورن_LN' = mkLN 'بيجهورن_N' ;	fun 'بيجهورن_N' : N ;	fun 'بيجهورن_LN' : LN ;
birstall_LN	بيرستال	google-translated	0		LN	"lin 'بيرستال_N' = mkN nohum (wmkN {g = fem ; sg = ""بيرستال"" ; pl = ""بيرستال"" }) ;"	lin 'بيرستال_LN' = mkLN 'بيرستال_N' ;	fun 'بيرستال_N' : N ;	fun 'بيرستال_LN' : LN ;
birtley_LN	بيرتلي	google-translated	0		LN	"lin 'بيرتلي_N' = mkN nohum (wmkN {g = fem ; sg = ""بيرتلي"" ; pl = ""بيرتلي"" }) ;"	lin 'بيرتلي_LN' = mkLN 'بيرتلي_N' ;	fun 'بيرتلي_N' : N ;	fun 'بيرتلي_LN' : LN ;
bishop's_cleeve_LN	بيشوب كليف	google-translated	1		LN	"lin 'بيشوب كليف_N' = mkN nohum (wmkN {g = fem ; sg = ""بيشوب كليف"" ; pl = ""بيشوب كليف"" }) ;"	lin 'بيشوب كليف_LN' = mkLN 'بيشوب كليف_N' ;	fun 'بيشوب كليف_N' : N ;	fun 'بيشوب كليف_LN' : LN ;
bishop_auckland_LN	بيشوب أوكلاند	google-translated	1		LN	"lin 'بيشوب أوكلاند_N' = mkN nohum (wmkN {g = fem ; sg = ""بيشوب أوكلاند"" ; pl = ""بيشوب أوكلاند"" }) ;"	lin 'بيشوب أوكلاند_LN' = mkLN 'بيشوب أوكلاند_N' ;	fun 'بيشوب أوكلاند_N' : N ;	fun 'بيشوب أوكلاند_LN' : LN ;
blaenau_ffestiniog_LN	بلينو-فستينيوج	google-translated	0		LN	"lin 'بلينو-فستينيوج_N' = mkN nohum (wmkN {g = fem ; sg = ""بلينو-فستينيوج"" ; pl = ""بلينو-فستينيوج"" }) ;"	lin 'بلينو-فستينيوج_LN' = mkLN 'بلينو-فستينيوج_N' ;	fun 'بلينو-فستينيوج_N' : N ;	fun 'بلينو-فستينيوج_LN' : LN ;
blaenavon_LN	بلاينافون	google-translated	0		LN	"lin 'بلاينافون_N' = mkN nohum (wmkN {g = fem ; sg = ""بلاينافون"" ; pl = ""بلاينافون"" }) ;"	lin 'بلاينافون_LN' = mkLN 'بلاينافون_N' ;	fun 'بلاينافون_N' : N ;	fun 'بلاينافون_LN' : LN ;
blaengwrach_LN	بلينجوراش	google-translated	0		LN	"lin 'بلينجوراش_N' = mkN nohum (wmkN {g = fem ; sg = ""بلينجوراش"" ; pl = ""بلينجوراش"" }) ;"	lin 'بلينجوراش_LN' = mkLN 'بلينجوراش_N' ;	fun 'بلينجوراش_N' : N ;	fun 'بلينجوراش_LN' : LN ;
